Car Model,Condition,Mileage,Price (USD),Monthly Payment,Dealer Name,Year,brand,Mileage_mi,Condition_car
2024 BMW M240 i xDrive,Used,17616,47500.0,893.0,BMW of Orland Park,2024,BMW,17616.0,Used
2025 Genesis GV70 2.5T,New,,53880.0,1013.0,Genesis of Schaumburg,2025,Genesis,,New
2020 Hyundai Sonata Limited,Used,71321,19795.0,372.0,Exclusive Auto Haus,2020,Hyundai,71321.0,Used
2023 Dodge Charger SXT,Used,14110,23495.0,442.0,Auto Select,2023,Dodge,14110.0,Used
2024 Dodge Durango R/T Plus AWD,New,,61450.0,1155.0,South Oak Dodge Chrysler Jeep RAM,2024,Dodge,,New
2024 RAM ProMaster 2500 High Roof,New,,46965.0,883.0,Bettenhausen Chrysler Dodge Jeep RAM,2024,RAM,,New
2025 Cadillac XT5 Premium Luxury,New,,62185.0,1169.0,Cadillac of Naperville,2025,Cadillac,,New
2025 Mercedes-Benz GLE 350 4MATIC,New,,73180.0,1376.0,Mercedes-Benz of Naperville,2025,Mercedes-Benz,,New
2025 Nissan Altima SR,New,,31210.0,587.0,Gerald Nissan of Naperville,2025,Nissan,,New
2024 BMW X3 xDrive30i,Used,4790,47888.0,900.0,Perillo BMW,2024,BMW,4790.0,Used
2025 GMC Terrain AWD Elevation,New,,33105.0,622.0,Zeigler Buick GMC of Lincolnwood,2025,GMC,,New
2023 Jeep Compass Limited,Used,18354,23950.0,450.0,Sherman Dodge Chrysler Jeep RAM,2023,Jeep,18354.0,Used
2018 Chevrolet Silverado 1500 Custom,Used,24726,29998.0,564.0,CarMax Gainesville,2018,Chevrolet,24726.0,Used
2023 Ford Explorer XLT,Ford Certified,9688,36896.0,694.0,Golf Mill Ford,2023,Ford,9688.0,Certified
2021 Ford Bronco Sport Outer Banks,Used,51987,24998.0,470.0,CarMax Myrtle Beach,2021,Ford,51987.0,Used
2025 Subaru Crosstrek Sport,New,,33828.0,636.0,Grand Subaru,2025,Subaru,,New
2023 Volkswagen Taos 1.5T S,Volkswagen Certified,31052,20600.0,387.0,Larry Roesch Volkswagen,2023,Volkswagen,31052.0,Certified
2025 Kia Sportage EX,New,,31060.0,584.0,Ed Napleton Acura Kia,2025,Kia,,New
2025 Jeep Grand Cherokee L Altitude,New,,47675.0,896.0,Zeigler Chrysler Dodge Jeep Ram of Downers Grove,2025,Jeep,,New
2018 Jaguar F-PACE 30t Premium,Used,84063,17990.0,338.0,Luxury Automax,2018,Jaguar,84063.0,Used
2024 Ford Bronco Big Bend,New,,40183.0,755.0,Ford of Homewood,2024,Ford,,New
2024 Ford Bronco Black Diamond,New,,51555.0,969.0,Highland Park Ford Lincoln,2024,Ford,,New
2024 Porsche Cayenne,Porsche Certified,4975,88000.0,1654.0,The Porsche Exchange,2024,Porsche,4975.0,Certified
2016 Chevrolet Suburban LS,Used,111052,21885.0,411.0,Schaumburg Ford,2016,Chevrolet,111052.0,Used
2025 Genesis GV70 3.5T Sport,New,,67520.0,1269.0,Genesis of Schaumburg,2025,Genesis,,New
2024 Ford Bronco Raptor,New,,85886.0,1614.0,Hawk Ford of Carol Stream,2024,Ford,,New
2021 Chevrolet Tahoe RST,Used,82596,46850.0,881.0,Arnie Bauer Buick GMC of Matteson,2021,Chevrolet,82596.0,Used
2021 Nissan Kicks SV,Nissan Certified,43094,16995.0,319.0,Woodfield Nissan,2021,Nissan,43094.0,Certified
2025 Chevrolet Equinox 1LT,New,,28495.0,536.0,Napleton Downtown Chevrolet Buick GMC,2025,Chevrolet,,New
2025 GMC Terrain AWD Elevation,New,,36084.0,678.0,Zeigler Buick GMC of Lincolnwood,2025,GMC,,New
2014 Volkswagen Beetle R-Line,Used,95323,17998.0,338.0,CarMax Escondido,2014,Volkswagen,95323.0,Used
2021 Chevrolet Trailblazer LT,Used,39621,20498.0,385.0,Zeigler Buick GMC of Lincolnwood,2021,Chevrolet,39621.0,Used
2015 Kia Soul Base,Used,87867,6995.0,131.0,Car's Unlimited,2015,Kia,87867.0,Used
