Car Model,Condition,Mileage,Price (USD),Monthly Payment,Dealer Name,Year,brand,Mileage_mi,Condition_car
2024 Volkswagen Atlas Cross Sport 2.0T SE w/Technology,New,,38746.0,728.0,Castle Volkswagen Downers Grove,2024,Volkswagen,,New
2025 Volkswagen Atlas Cross Sport 2.0T SE w/Technology,New,,44103.0,829.0,Castle Volkswagen Downers Grove,2025,Volkswagen,,New
2025 Volkswagen Atlas Cross Sport 2.0T SEL R-Line Black,New,,47982.0,902.0,Volkswagen of Orland Park,2025,Volkswagen,,New
2025 Volkswagen Atlas Cross Sport 2.0T SEL,New,,46535.0,875.0,Volkswagen of Orland Park,2025,Volkswagen,,New
2025 Volkswagen Atlas Cross Sport 2.0T SE w/Technology,New,,43659.0,821.0,Volkswagen of Orland Park,2025,Volkswagen,,New
2025 Nissan Sentra SR,New,,25362.0,477.0,Woodfield Nissan,2025,Nissan,,New
2025 RAM ProMaster 3500 High Roof,New,,57035.0,1072.0,Sherman Dodge Chrysler Jeep RAM,2025,RAM,,New
2024 Ford Bronco Raptor,New,,89577.0,1684.0,Golf Mill Ford,2024,Ford,,New
2025 Subaru Crosstrek Limited,New,,34534.0,649.0,The Autobarn Countryside Subaru,2025,Subaru,,New
2022 Chrysler Pacifica Touring L,Used,54555,23998.0,451.0,CarMax Orlando,2022,Chrysler,54555.0,Used
2022 Mercedes-Benz A-Class,Used,37136,28998.0,545.0,CarMax Midlothian,2022,Mercedes-Benz,37136.0,Used
2024 GMC Terrain SLE,New,,35060.0,659.0,Ettleson Buick GMC,2024,GMC,,New
2019 Chevrolet Traverse LS,Used,77965,17997.0,338.0,Ettleson Buick GMC,2019,Chevrolet,77965.0,Used
2017 Volkswagen Jetta SE,Used,59986,15998.0,301.0,CarMax Hillside (Eisenhower Expy),2017,Volkswagen,59986.0,Used
2017 Hyundai Santa Fe Sport,Used,56852,16998.0,319.0,CarMax Hillside (Eisenhower Expy),2017,Hyundai,56852.0,Used
2019 Volkswagen Golf GTI 2.0T S 4-Door,Used,32681,22995.0,432.0,Pro Cars USA Inc,2019,Volkswagen,32681.0,Used
2024 Ford Ranger XLT,New,,45947.0,864.0,Roesch Ford,2024,Ford,,New
2025 Nissan Kicks S,New,,25685.0,483.0,Bill Kay Downers Grove Nissan,2025,Nissan,,New
2025 Volkswagen Atlas Cross Sport 2.0T SE w/Technology,New,,43778.0,823.0,Volkswagen of Orland Park,2025,Volkswagen,,New
2025 Volkswagen Atlas Cross Sport 2.0T SE w/Technology,New,,44276.0,832.0,Volkswagen of Orland Park,2025,Volkswagen,,New
2025 Volkswagen Atlas Cross Sport 2.0T SEL R-Line Black,New,,48307.0,908.0,Volkswagen of Orland Park,2025,Volkswagen,,New
2025 Volkswagen Atlas Cross Sport 2.0T SEL R-Line Black,New,,48700.0,915.0,Volkswagen of Orland Park,2025,Volkswagen,,New
2025 GMC HUMMER EV SUV 3X,New,,108465.0,2039.0,Rizza Cadillac Buick GMC,2025,GMC,,New
2025 Chevrolet Equinox LT,New,,30877.0,580.0,Phillips Chevrolet,2025,Chevrolet,,New
2024 Ford Bronco Outer Banks,New,,48162.0,905.0,Fair Oaks Ford,2024,Ford,,New
2025 Nissan Kicks SR,New,,29935.0,563.0,Gerald Nissan of Naperville,2025,Nissan,,New
2025 Honda Odyssey Touring,New,,45175.0,849.0,Honda City Chicago,2025,Honda,,New
2025 Nissan Murano SL,New,,49640.0,933.0,Al Piemonte Nissan,2025,Nissan,,New
2025 Chevrolet Equinox 1LT,New,,29251.0,550.0,Advantage Chevrolet of Bridgeview,2025,Chevrolet,,New
2017 Chevrolet Volt LT,Used,77756,16998.0,319.0,CarMax Austin North,2017,Chevrolet,77756.0,Used
2016 Buick Encore,Used,81616,13998.0,263.0,CarMax Midlothian,2016,Buick,81616.0,Used
2025 Ford Explorer Active,New,,43610.0,820.0,Westfield Ford,2025,Ford,,New
2024 Subaru Crosstrek Sport,New,,32200.0,605.0,The Autobarn Countryside Subaru,2024,Subaru,,New
2021 Ford Transit-350 XLT,Used,91512,34199.0,643.0,Titan Auto Sales,2021,Ford,91512.0,Used
2025 Audi Q5 45 S line Premium Plus,New,,58530.0,1100.0,Audi Westmont,2025,Audi,,New
2025 Dodge Durango GT Plus,New,,46192.0,868.0,DuPage CDJR,2025,Dodge,,New
2017 Audi Q7 3.0T Prestige,Used,70864,22900.0,430.0,Exotic Motors,2017,Audi,70864.0,Used
2024 Ford Bronco Raptor,New,,92723.0,1743.0,Arlington Heights Ford,2024,Ford,,New
2025 GMC Sierra 1500 Denali,New,,68945.0,1296.0,Napleton's Schaumburg Buick GMC,2025,GMC,,New
2024 Dodge Durango SRT 392,New,,70610.0,1327.0,Thomas Dodge Chrysler Jeep RAM of Highland,2024,Dodge,,New
2025 Dodge Durango R/T,New,,64960.0,1221.0,Zeigler Chrysler Dodge Jeep Ram of Schaumburg,2025,Dodge,,New
2024 Ford F-250 XLT,New,,51997.0,977.0,Sutton Ford,2024,Ford,,New
2025 GMC Terrain AWD Elevation,New,,33361.0,627.0,Woody Buick GMC Naperville,2025,GMC,,New
2025 GMC Terrain AWD Elevation,New,,36191.0,680.0,Woody Buick GMC Naperville,2025,GMC,,New
2025 GMC Terrain Elevation,New,,36459.0,685.0,Woody Buick GMC Naperville,2025,GMC,,New
2025 INFINITI QX60 Luxe,New,,58897.0,1107.0,INFINITI of Naperville,2025,INFINITI,,New
2024 Toyota RAV4 Hybrid XSE,Used,14030,41688.0,784.0,Toyota of Naperville,2024,Toyota,14030.0,Used
2025 Land Rover Defender 110 P400 X-Dynamic SE,New,,89133.0,1675.0,Land Rover Jaguar Naperville,2025,Land Rover,,New
2025 Audi Q5 55 S line Premium,New,,61880.0,1163.0,Fletcher Jones Audi,2025,Audi,,New
2024 Dodge Durango R/T,New,,55498.0,1043.0,Hawk CDJR,2024,Dodge,,New
2025 Chevrolet Equinox 1LT,New,,31288.0,588.0,Advantage Chevrolet of Bridgeview,2025,Chevrolet,,New
2018 Honda Accord LX,Used,100675,16998.0,319.0,CarMax Palm Desert,2018,Honda,100675.0,Used
2012 Ford Focus S,Used,72887,6950.0,131.0,Auto Park Imports,2012,Ford,72887.0,Used
2015 Dodge Challenger SRT 392,Used,46581,31998.0,601.0,CarMax Bristol,2015,Dodge,46581.0,Used
2025 Land Rover Range Rover P550e SE,New,,136135.0,2559.0,Jaguar Land Rover Hinsdale,2025,Land Rover,,New
2025 Land Rover Range Rover P550e SE,New,,138215.0,2598.0,Jaguar Land Rover Hinsdale,2025,Land Rover,,New
2025 Ford Escape SE,New,,40185.0,755.0,Roesch Ford,2025,Ford,,New
2025 MINI Countryman Cooper ALL4,New,,44190.0,831.0,MINI of Glencoe North Shore,2025,MINI,,New
2025 Kia K4 EX,New,,25145.0,473.0,Ed Napleton Acura Kia,2025,Kia,,New
2024 Ford Bronco Badlands,New,,51514.0,968.0,Packey Webb Ford,2024,Ford,,New
2025 Audi Q8 55 Premium Plus,New,,86470.0,1625.0,The Audi Exchange,2025,Audi,,New
2025 Ford Explorer Active,New,,49800.0,936.0,Highland Park Ford Lincoln,2025,Ford,,New
2022 Jeep Gladiator Rubicon,Used,7384,50775.0,954.0,Auto Showcase of Carol Stream,2022,Jeep,7384.0,Used
2024 Ford Bronco Raptor,New,,90227.0,1696.0,Arlington Heights Ford,2024,Ford,,New
2020 GMC Sierra 1500 Elevation,Used,62630,34995.0,658.0,Napleton's Schaumburg Buick GMC,2020,GMC,62630.0,Used
2025 Hyundai IONIQ 6 Limited,New,,57708.0,1085.0,Hyundai of Palatine,2025,Hyundai,,New
2025 Nissan Rogue Rock Creek,New,,38920.0,732.0,Gerald Nissan of Naperville,2025,Nissan,,New
2025 Nissan Kicks SV,New,,25575.0,481.0,Gerald Nissan of Naperville,2025,Nissan,,New
2017 Hyundai Sonata Sport,Used,49336,14477.0,272.0,Castle Chrysler Dodge Jeep Ram of Naperville,2017,Hyundai,49336.0,Used
2025 Honda Civic Type R Base,New,,47145.0,886.0,Honda of Downtown Chicago,2025,Honda,,New
2017 INFINITI QX30 Premium,Used,66688,14999.0,282.0,West Chicago Auto Mall,2017,INFINITI,66688.0,Used
2018 Ford Focus ST,Used,77257,16877.0,317.0,Napleton Ford of Oak Lawn,2018,Ford,77257.0,Used
2014 Cadillac XTS Premium,Used,38692,21998.0,413.0,CarMax North Houston,2014,Cadillac,38692.0,Used
2024 Audi RS 3 TFSI quattro S tronic,Used,12511,61872.0,1163.0,Old Orchard Nissan,2024,Audi,12511.0,Used
2014 Toyota Prius v Five,Used,162558,8675.0,163.0,McGrath Elmhurst Toyota,2014,Toyota,162558.0,Used
2025 Kia K5 GT-Line,New,,30087.0,566.0,Ed Napleton Acura Kia,2025,Kia,,New
2008 Mercedes-Benz CL-Class CL550 2dr Coupe 5.5L V8,Used,125293,11450.0,215.0,Revved Motors,2008,Mercedes-Benz,125293.0,Used
2007 BMW Z4 M Roadster,Used,107220,22980.0,432.0,Driven Auto of Oak Forest,2007,BMW,107220.0,Used
2011 Volkswagen GTI Autobahn,Used,93555,10500.0,197.0,Dream Motorworks,2011,Volkswagen,93555.0,Used
2021 Lexus ES 250 250,Used,27515,29495.0,554.0,Castle Mazda Downers Grove,2021,Lexus,27515.0,Used
2024 BMW ALPINA XB7 Base,Used,7281,138000.0,2594.0,BMW of Orland Park,2024,BMW,7281.0,Used
2021 Lexus ES 250 250,Used,27669,31748.0,597.0,Patrick Hyundai of Schaumburg,2021,Lexus,27669.0,Used
2012 MINI Cooper Base,Used,28997,11900.0,224.0,Exotic Motors,2012,MINI,28997.0,Used
2016 BMW 335 Gran Turismo XI Gran Turismo,Used,42428,25998.0,489.0,CarMax Schaumburg,2016,BMW,42428.0,Used
2018 BMW 340 Gran Turismo xDrive,Used,47073,29301.0,551.0,Arlington Heights Ford,2018,BMW,47073.0,Used
2021 Lexus ES 250 Base,Used,45482,26744.0,503.0,Napleton's Schaumburg Subaru,2021,Lexus,45482.0,Used
2021 Lexus ES 250 250,Used,11439,32000.0,601.0,Phillips Chevrolet,2021,Lexus,11439.0,Used
2024 Toyota 4Runner SR5,Used,16665,39995.0,752.0,INFINITI of Naperville,2024,Toyota,16665.0,Used
2025 Nissan Kicks SV,New,,27049.0,508.0,Berman Nissan of Chicago,2025,Nissan,,New
2025 Chevrolet Trax FWD 2RS,New,,27335.0,514.0,Kingdom Chevrolet,2025,Chevrolet,,New
2024 Cadillac XT4 Luxury,New,,46115.0,867.0,Zeigler Cadillac of Lincolnwood,2024,Cadillac,,New
2022 Toyota RAV4 Prime XSE,Used,14976,45998.0,865.0,CarMax Knoxville,2022,Toyota,14976.0,Used
2024 Hyundai Elantra SEL,New,,24720.0,465.0,Ettleson Hyundai,2024,Hyundai,,New
2024 Ford Transit-250 Base,New,,54015.0,1015.0,Roesch Ford,2024,Ford,,New
2025 Ford Escape Active,New,,32375.0,609.0,Roesch Ford,2025,Ford,,New
2025 MINI Hardtop Cooper S,New,,38370.0,721.0,MINI of Glencoe North Shore,2025,MINI,,New
2020 Dodge Journey SE Value,Used,65904,13950.0,262.0,Chicago Motor Credit,2020,Dodge,65904.0,Used
2024 Cadillac XT6 Premium Luxury AWD,New,,65300.0,1227.0,Heritage Cadillac,2024,Cadillac,,New
2023 Chevrolet Equinox RS,Used,44952,22988.0,432.0,Family Hyundai,2023,Chevrolet,44952.0,Used
2018 Toyota RAV4 Hybrid XLE,Used,78579,24998.0,470.0,CarMax Tinley Park,2018,Toyota,78579.0,Used
2025 Hyundai Tucson SEL,New,,31012.0,583.0,Webb Hyundai Highland,2025,Hyundai,,New
2023 Audi Q3 Premium 45 TFSI S line quattro Tiptronic,Used,44144,24295.0,457.0,Napleton's Arlington Heights Chrysler Dodge Jeep RAM,2023,Audi,44144.0,Used
2025 Nissan Rogue SL,New,,40535.0,762.0,Woodfield Nissan,2025,Nissan,,New
2025 Hyundai IONIQ 6 SEL,New,,51200.0,962.0,Hyundai of Palatine,2025,Hyundai,,New
2013 Audi A4 2.0T Premium Plus quattro,Used,57490,11777.0,221.0,Napleton Mazda of Naperville,2013,Audi,57490.0,Used
2025 GMC Terrain AWD Elevation,New,,36009.0,677.0,Woody Buick GMC Naperville,2025,GMC,,New
2024 Chevrolet Corvette Z06,New,,168505.0,3167.0,Napleton Downtown Chevrolet Buick GMC,2024,Chevrolet,,New
2025 Mercedes-Benz GLE-Class AMG GLE 53,New,,99985.0,1879.0,Mercedes-Benz of Chicago,2025,Mercedes-Benz,,New
2025 Chevrolet Trax LT,New,,24760.0,465.0,Advantage Chevrolet of Bridgeview,2025,Chevrolet,,New
2015 MINI Countryman S,Used,55350,14998.0,282.0,CarMax Jensen Beach,2015,MINI,55350.0,Used
2019 Audi Q7 55 Premium Plus,Used,96313,23995.0,451.0,S&M Auto Sales,2019,Audi,96313.0,Used
2025 Lexus IS 350 Base,New,,50558.0,950.0,Fields Lexus Glenview,2025,Lexus,,New
2025 Mercedes-Benz Sprinter 2500 Standard Roof,New,,64091.0,1205.0,Mercedes-Benz of Westmont,2025,Mercedes-Benz,,New
2025 Genesis GV70 2.5T AWD,New,,58991.0,1109.0,Napleton River Oaks Hyundai Kia,2025,Genesis,,New
2024 Ford Ranger XLT,New,,41029.0,771.0,Packey Webb Ford,2024,Ford,,New
2022 Dodge Charger GT,Used,55120,27000.0,508.0,Napleton's River Oaks Chrysler Jeep Dodge RAM,2022,Dodge,55120.0,Used
2024 Ford Bronco Sport Badlands,New,,35883.0,674.0,Joe Rizza Ford Lincoln,2024,Ford,,New
2025 Chevrolet Corvette Stingray w/3LT,New,,99772.0,1875.0,Jerry Haggerty Chevrolet,2025,Chevrolet,,New
2025 Hyundai Elantra SEL Sport,New,,23093.0,434.0,Patrick Hyundai of Schaumburg,2025,Hyundai,,New
2024 Ford Bronco Sport Big Bend,New,,33395.0,628.0,Webb Ford,2024,Ford,,New
2016 Toyota Camry SE,Used,83159,14801.0,278.0,Arlington Heights Ford,2016,Toyota,83159.0,Used
2025 Mercedes-Benz Sprinter 2500 Standard Roof,New,,61352.0,1153.0,Mercedes-Benz of Hoffman Estates,2025,Mercedes-Benz,,New
2025 Honda Ridgeline RTL,New,,44625.0,839.0,Gerald Honda of Matteson,2025,Honda,,New
2018 Jeep Grand Cherokee Altitude,Used,70397,20500.0,385.0,INFINITI of Naperville,2018,Jeep,70397.0,Used
2025 Acura MDX A-Spec Advance,Acura Certified,2557,59999.0,1128.0,Advantage Acura of Naperville,2025,Acura,2557.0,Certified
2019 Mercedes-Benz Sprinter 2500 Standard Roof,Used,67942,27995.0,526.0,High Quality Auto Group,2019,Mercedes-Benz,67942.0,Used
2025 Jeep Grand Cherokee L Laredo,New,,44451.0,836.0,Hawk CDJR,2025,Jeep,,New
2015 Mercedes-Benz SL-Class SL 400,Used,44444,33588.0,631.0,iCars Chicago,2015,Mercedes-Benz,44444.0,Used
2019 Chevrolet Impala Premier,Used,54452,23998.0,451.0,CarMax Killeen,2019,Chevrolet,54452.0,Used
2021 Mazda CX-5 Grand Touring Reserve,Used,23330,28998.0,545.0,CarMax Columbus,2021,Mazda,23330.0,Used
2025 Nissan Versa 1.6 S,New,,23053.0,433.0,Old Orchard Nissan,2025,Nissan,,New
2020 Ford Expedition Max Limited,Used,85647,28795.0,541.0,S&M Auto Sales,2020,Ford,85647.0,Used
2025 Hyundai Tucson SEL Convenience,New,,34131.0,642.0,Napleton River Oaks Hyundai Kia,2025,Hyundai,,New
2025 Jeep Grand Cherokee L Laredo,New,,45332.0,852.0,Bettenhausen Chrysler Dodge Jeep RAM,2025,Jeep,,New
2024 Ford Bronco Badlands,New,,56615.0,1064.0,Joe Rizza Ford Lincoln,2024,Ford,,New
2019 Subaru Ascent Limited 8-Passenger,Used,98049,18995.0,357.0,Exclusive Auto Haus,2019,Subaru,98049.0,Used
2021 Ford Transit-350 XLT,Used,53269,39401.0,741.0,Arlington Heights Ford,2021,Ford,53269.0,Used
2016 Hyundai Elantra GT Base,Used,105777,6944.0,131.0,Napleton's Schaumburg Subaru,2016,Hyundai,105777.0,Used
2025 Nissan Kicks SR,New,,29876.0,562.0,Woodfield Nissan,2025,Nissan,,New
2022 Jeep Wrangler Unlimited 4xe Sahara,Used,39320,30900.0,581.0,Bettenhausen Chrysler Dodge Jeep RAM,2022,Jeep,39320.0,Used
2025 Ford Explorer Active,New,,44803.0,842.0,Fair Oaks Ford,2025,Ford,,New
2025 Cadillac XT5 Premium Luxury,New,,57435.0,1080.0,Cadillac of Naperville,2025,Cadillac,,New
2025 Acura Integra A-Spec Technology,New,,39795.0,748.0,Advantage Acura of Naperville,2025,Acura,,New
2025 Ford Explorer ST,New,,60136.0,1130.0,Haggerty Ford,2025,Ford,,New
2025 Audi Q5 40 Premium,New,,49700.0,934.0,Fletcher Jones Audi,2025,Audi,,New
2021 Volkswagen Passat 2.0T S,Used,11606,19999.0,376.0,West Chicago Auto Mall,2021,Volkswagen,11606.0,Used
2021 Hyundai Elantra SEL,Used,60565,16995.0,319.0,High Quality Auto Sales,2021,Hyundai,60565.0,Used
2023 Honda Accord Hybrid Sport,Used,39693,29998.0,564.0,CarMax Burbank,2023,Honda,39693.0,Used
2023 Honda Civic EX-L,Used,22649,29399.0,553.0,McGrath City Honda,2023,Honda,22649.0,Used
2016 Cadillac SRX Performance,Used,48275,19998.0,376.0,CarMax Kenner,2016,Cadillac,48275.0,Used
2007 Honda CR-V LX,Used,116599,7833.0,147.0,Gerald Honda of Countryside,2007,Honda,116599.0,Used
2025 Hyundai Tucson SEL Convenience,New,,35293.0,663.0,AutoNation Hyundai O'Hare,2025,Hyundai,,New
2023 GMC Yukon Denali,Used,15480,70535.0,1326.0,Haggerty Buick GMC Inc,2023,GMC,15480.0,Used
2025 Audi Q5 40 Premium Plus,New,,55990.0,1052.0,Audi Westmont,2025,Audi,,New
2016 Land Rover Range Rover 5.0L Supercharged,Used,80326,21995.0,413.0,Blue Sky Auto Sales - Crestwood,2016,Land Rover,80326.0,Used
2017 Jeep Patriot Latitude,Used,124385,6790.0,128.0,Auto Gallery Chicago,2017,Jeep,124385.0,Used
2025 Hyundai Palisade Calligraphy,New,,52230.0,982.0,Castle Hyundai Downers Grove,2025,Hyundai,,New
2022 Chevrolet Malibu FWD LT,Used,57085,18000.0,338.0,Napleton's River Oaks Chrysler Jeep Dodge RAM,2022,Chevrolet,57085.0,Used
2022 Dodge Charger SXT,Used,54170,21998.0,413.0,CarMax Tinley Park,2022,Dodge,54170.0,Used
2025 Jeep Compass Latitude,New,,29855.0,561.0,Zeigler Chrysler Dodge Jeep Ram of Schaumburg,2025,Jeep,,New
2024 Ford Bronco Badlands,New,,59806.0,1124.0,Arlington Heights Ford,2024,Ford,,New
2025 Mercedes-Benz Sprinter 2500 Standard Roof,New,,65837.0,1238.0,Mercedes-Benz of Hoffman Estates,2025,Mercedes-Benz,,New
2025 Chevrolet Equinox LT,New,,30998.0,583.0,Phillips Chevrolet,2025,Chevrolet,,New
2022 Hyundai Sonata Hybrid Base,Used,85412,16900.0,318.0,Volkswagen of Downtown Chicago,2022,Hyundai,85412.0,Used
2025 INFINITI QX60 Luxe,New,,58674.0,1103.0,Berman Nissan of Chicago,2025,INFINITI,,New
2022 Buick Encore GX Preferred,Used,21221,21998.0,413.0,CarMax Nashville,2022,Buick,21221.0,Used
2025 INFINITI QX60 Luxe,New,,60996.0,1147.0,Berman Nissan of Chicago,2025,INFINITI,,New
2019 Chevrolet Trax LS,Used,71280,11949.0,225.0,Midway Dodge,2019,Chevrolet,71280.0,Used
2023 Audi Q7 55 Premium Plus,Used,60895,35500.0,667.0,Kingdom Chevrolet,2023,Audi,60895.0,Used
2022 Nissan Kicks SV,Used,32221,17798.0,335.0,Zeigler Buick GMC of Lincolnwood,2022,Nissan,32221.0,Used
2013 Ford E250 Cargo,Used,198877,9995.0,188.0,Summit Auto Center,2013,Ford,198877.0,Used
2020 RAM 1500 Laramie,Used,52278,34998.0,658.0,CarMax Pleasanton,2020,RAM,52278.0,Used
2024 Volkswagen Atlas Cross Sport 2.0T SE w/Technology,New,,38065.0,715.0,The Autobarn Volkswagen of Countryside,2024,Volkswagen,,New
2018 GMC Terrain SLE,Used,55560,16997.0,319.0,Jaguar Land Rover Hinsdale,2018,GMC,55560.0,Used
2024 Subaru Crosstrek Limited,New,,35794.0,673.0,Grand Subaru,2024,Subaru,,New
2024 Subaru Crosstrek Limited,New,,35745.0,672.0,Grand Subaru,2024,Subaru,,New
2025 Hyundai IONIQ 6 SEL,New,,50833.0,955.0,Napleton Hyundai of Glenview,2025,Hyundai,,New
2025 Hyundai IONIQ 6 SEL,New,,51135.0,961.0,Napleton Hyundai of Glenview,2025,Hyundai,,New
2025 Hyundai IONIQ 6 Limited,New,,56830.0,1068.0,Napleton Hyundai of Glenview,2025,Hyundai,,New
2004 Ford F-150 Lariat SuperCrew,Used,111481,9999.0,188.0,I-80 Auto Sales,2004,Ford,111481.0,Used
2025 Hyundai Tucson SE,New,,31236.0,587.0,Family Hyundai,2025,Hyundai,,New
2024 GMC Yukon XL Denali,New,,89100.0,1675.0,Bill Kay Buick GMC,2024,GMC,,New
2019 Audi Q7 45 Premium Plus,Used,92726,25995.0,489.0,Guaranteed Motor Cars,2019,Audi,92726.0,Used
2025 Hyundai IONIQ 6 SEL,New,,51092.0,960.0,Hyundai of Palatine,2025,Hyundai,,New
2025 Audi Q5 Prestige 40 TFSI quattro,New,,57225.0,1076.0,Fletcher Jones Audi,2025,Audi,,New
2025 Honda Civic Sport,New,,26900.0,506.0,Honda City Chicago,2025,Honda,,New
2024 Buick Encore GX Avenir,New,,31307.0,588.0,Zeigler Buick GMC of Lincolnwood,2024,Buick,,New
2024 Kia Carnival EX,Used,9754,39998.0,752.0,CarMax Kearny Mesa,2024,Kia,9754.0,Used
2018 Ford F-150 XL,Used,96578,24795.0,466.0,Asia Motors Inc.,2018,Ford,96578.0,Used
2025 Chevrolet Trax ACTIV,Used,1165,26499.0,498.0,Gerald Honda of Countryside,2025,Chevrolet,1165.0,Used
2025 Subaru Crosstrek Sport,New,,32219.0,606.0,Grand Subaru,2025,Subaru,,New
2025 Kia Carnival Hybrid SX,New,,53255.0,1001.0,Ed Napleton Acura Kia,2025,Kia,,New
2025 Nissan Kicks SV,New,,26685.0,502.0,Bill Kay Downers Grove Nissan,2025,Nissan,,New
2025 Hyundai Tucson SE,New,,31754.0,597.0,Family Hyundai,2025,Hyundai,,New
2025 Volvo XC60 Plug-In Hybrid T8 Core,New,,60075.0,1129.0,Volvo Cars Lisle,2025,Volvo,,New
2024 Audi Q3 45 S line Premium Plus,Audi Certified,2348,38590.0,725.0,The Audi Exchange,2024,Audi,2348.0,Certified
2022 Buick Enclave AWD Premium,Used,72697,25085.0,472.0,Zeigler Chevrolet,2022,Buick,72697.0,Used
2025 Genesis G70 2.5T,New,,49755.0,935.0,Genesis of Schaumburg,2025,Genesis,,New
2025 Chevrolet Trax FWD 2RS,New,,26190.0,492.0,Garber Chevrolet Highland,2025,Chevrolet,,New
2025 Jeep Compass Sport,New,,28090.0,528.0,Zeigler Chrysler Dodge Jeep Ram of Schaumburg,2025,Jeep,,New
2025 Nissan Rogue Rock Creek,New,,38120.0,717.0,Al Piemonte Nissan,2025,Nissan,,New
2024 Ford Bronco Badlands,New,,61983.0,1165.0,Golf Mill Ford,2024,Ford,,New
2013 Lexus GS 350,Used,99642,16998.0,319.0,CarMax Greenville,2013,Lexus,99642.0,Used
2021 Volkswagen Atlas Cross Sport SE w/Tech,Used,20023,26998.0,507.0,CarMax Naples,2021,Volkswagen,20023.0,Used
2022 Ford Escape SEL,Used,28052,23985.0,451.0,Napleton Ford of Oak Lawn,2022,Ford,28052.0,Used
2024 Ford Bronco Outer Banks,New,,55019.0,1034.0,Roesch Ford,2024,Ford,,New
2015 Lexus RX 350 Base,Used,87964,18403.0,346.0,Audi Westmont,2015,Lexus,87964.0,Used
2025 Mercedes-Benz GLE 450e 4MATIC,New,,82145.0,1544.0,Mercedes-Benz of Westmont,2025,Mercedes-Benz,,New
2018 BMW X2 xDrive28i,Used,53270,18775.0,353.0,Highline Auto Sales,2018,BMW,53270.0,Used
2024 Honda Prologue Touring,New,,56550.0,1063.0,Community Honda of Orland Park,2024,Honda,,New
2024 Audi Q3 S line Premium,Audi Certified,2753,36340.0,683.0,The Audi Exchange,2024,Audi,2753.0,Certified
2025 Volvo XC40 B5 Ultra Bright Theme,New,,50050.0,941.0,Volvo Cars Lisle,2025,Volvo,,New
2024 Ford Bronco Badlands,New,,54503.0,1024.0,Schaumburg Ford,2024,Ford,,New
2024 INEOS Grenadier Trialmaster,New,,79235.0,1489.0,Knauz Ineos Grenadier of Lake Bluff,2024,INEOS,,New
2020 Cadillac Escalade Premium Luxury,Used,51234,43479.0,817.0,Maserati of Naperville,2020,Cadillac,51234.0,Used
2024 Dodge Durango R/T,New,,55691.0,1047.0,Hawk CDJR,2024,Dodge,,New
2020 BMW X2 SDrive28i,Used,38303,22998.0,432.0,CarMax Oxnard,2020,BMW,38303.0,Used
2017 Audi Q7 3.0T Prestige,Used,120853,17980.0,338.0,Driven Auto Sales,2017,Audi,120853.0,Used
2023 Volkswagen Atlas Cross Sport SE w/Tech,Used,35367,31998.0,601.0,CarMax Maplewood,2023,Volkswagen,35367.0,Used
2021 GMC Yukon SLT,Used,43040,49998.0,940.0,CarMax Hillside (Eisenhower Expy),2021,GMC,43040.0,Used
2024 GMC Terrain SLE,New,,36555.0,687.0,Ettleson Buick GMC,2024,GMC,,New
2025 Hyundai Elantra Sport,New,,24092.0,453.0,AutoNation Hyundai O'Hare,2025,Hyundai,,New
2024 RAM 3500 Tradesman Crew Cab 4x4 8' Box,New,,49690.0,934.0,Larry Roesch Dodge Chrysler Jeep RAM,2024,RAM,,New
2025 Aston Martin Vantage Coupe,New,,223500.0,4201.0,Napleton Aston Martin Maserati,2025,Aston Martin,,New
2020 Land Rover Range Rover Evoque First Edition,Used,57813,25400.0,477.0,Haus of Imports,2020,Land Rover,57813.0,Used
2025 Audi Q5 40 Premium,New,,48329.0,908.0,Audi Orland Park,2025,Audi,,New
2025 Audi Q5 45 S line Premium Plus,New,,58175.0,1093.0,Audi Orland Park,2025,Audi,,New
2024 Cadillac XT5 Luxury,New,,46240.0,869.0,Rizza Cadillac Buick GMC,2024,Cadillac,,New
2025 Audi Q3 45 S line Premium Plus,New,,47200.0,887.0,The Audi Exchange,2025,Audi,,New
2025 Volkswagen Atlas Cross Sport 2.0T SEL Premium,New,,51922.0,976.0,Castle Volkswagen of Schaumburg,2025,Volkswagen,,New
2022 Volkswagen Atlas 3.6L SE w/Technology,Used,52482,27803.0,523.0,Bosak Honda,2022,Volkswagen,52482.0,Used
2025 BMW X7 M60i,New,,121025.0,2275.0,BMW of Schererville,2025,BMW,,New
2024 Volkswagen Atlas Cross Sport 2.0T SE,New,,35936.0,675.0,Bill Jacobs VW,2024,Volkswagen,,New
2025 INFINITI QX60 SENSORY,New,,60712.0,1141.0,Berman Nissan of Chicago,2025,INFINITI,,New
2025 Jeep Grand Cherokee L Altitude,New,,40435.0,760.0,Marino Chrysler Jeep Dodge RAM,2025,Jeep,,New
2022 Honda Ridgeline RTL-E,Used,61955,29595.0,556.0,Baha Auto Group Inc.,2022,Honda,61955.0,Used
2018 Mercedes-Benz GLA 250,Used,70567,19998.0,376.0,CarMax Wayne,2018,Mercedes-Benz,70567.0,Used
2015 BMW 328 I,Used,35752,17998.0,338.0,CarMax Boise (Meridian),2015,BMW,35752.0,Used
2024 Subaru Crosstrek Wilderness,New,,33256.0,625.0,The Autobarn Countryside Subaru,2024,Subaru,,New
2025 Audi Q5 55 S line Premium Plus,New,,66775.0,1255.0,Audi Morton Grove,2025,Audi,,New
